legacy_id,uuid,name,equipment_type
257,64ee7dfa-d3a9-4221-9ff8-fd712066b013,"Freemotion Y-Raises (Paused)",freemotion
258,c12cbacc-e1bc-44cd-bed1-9308bc930650,"Front Foot Elevated Smith Lunge",smith machine
259,ad6180f1-431a-4049-9a42-c62631eca05c,"Front Squat",barbell
260,c89434cf-22a8-4266-a773-65a9da66375b,"Front Squat (Cross Grip)",barbell
261,268638d7-3bdc-4d25-b37d-28ca9033f71e,"Goblet Squat",dumbbell
262,200ea359-bd44-469c-a71f-8e543a1c4f38,"Grip Roller",machine
263,0706b408-6cb1-44a1-867d-7e75f29aa3c6,"Hammer Machine Chest Press (Incline)",machine
264,612573e5-757a-4bcb-a5d9-6c3f55a64536,"Hammer Preacher Curl",dumbbell
265,5ce4a20d-9f0c-48f6-9990-bef23eb393ef,"Hanging Knee Raise",bodyweight only
266,73ed5444-2326-4ceb-84f6-9ada8060d8eb,"Hanging Straight Leg Raise",bodyweight only
267,14b84dc6-7afc-4c88-80b4-d2ddbd46fa7e,"Hip Abduction Machine",machine
268,6866df1e-2310-4e89-b844-696f7ed7b6ca,"Hip Adduction",machine
269,57ad7a8b-7d34-4b29-9d68-f898bb1172f2,"Inverted Row",bodyweight only
270,59380279-eaa8-4c5a-8796-4df2bd7db051,"Inverted Skullcrusher",bodyweight only
271,6a446a9b-805f-4bf0-b547-1cc9d12603d6,"JM Press",barbell
272,e6b78329-8b02-4fae-9f72-ef62058d3c32,"Landmine Row",barbell
273,d9ddfda8-8e3d-4c35-9f15-7e9e347d124b,"Lying Cable Curl",cable
274,d1280390-a094-47b7-bfa7-63349fcf7e66,"Lying Dumbbell Curl",dumbbell
275,6f9e40b9-1bf8-4aa8-b56d-4f856f01b658,"Machine Shrug",machine
276,0f83bea1-976d-4d16-b014-6d77a034e52b,"Meadows Row",barbell
277,09ee2a29-cd13-4a3d-8485-fb6708004f04,"Modified Candlestick",bodyweight only
278,d749edb6-fdaf-4131-92f2-c2e983f5c49d,"Nordic Curl",bodyweight only
279,862ac671-76cc-4a15-8cda-98f7cbedfa89,"Pec Dec Flye",machine
280,d4bf8d5b-0261-44b2-86ca-cff9905a9c69,"Pulldown (Narrow Grip)",cable
281,6938bba8-58fd-4271-b2e0-e76f5221820d,"Pulldown (Single-Arm)",cable
282,85f4af9f-b7b6-415a-b2cb-f98704ddefba,"Pulldown (Underhand Grip)",cable
283,0101255c-9401-4d8b-acf7-b18201d7cdb2,"Pulldown (Upright Torso to Abs)",cable
284,ed7d7dbe-7722-411f-a0c7-f33d551c6537,"Pullup (Normal Grip)",bodyweight only
285,4580a609-144a-4746-acfd-f6076387f7e2,"Pullup (Parallel Grip)",bodyweight only
286,15cc332f-6e62-465b-8e9d-c5855dc79988,"Pullup (Underhand Grip)",bodyweight only
287,8180bb7c-e217-4cf4-8901-479720c2a2c8,"Pullup (Weighted, Parallel Grip)",bodyweight loadable
288,e28d7c97-ad0b-49b2-8dce-1c9b7b1e72b6,"Pullup (Weighted, Underhand Grip)",bodyweight loadable
289,6a92394e-f4d2-40d3-8dbc-9fa8f0af4326,"Pullup (Weighted, Wide Grip)",bodyweight loadable
290,c5b5982d-c22f-48b8-bf32-6388d34b3f59,"Pullup (Wide Grip)",bodyweight only
291,f9fec483-d9b2-4a94-a35a-e136e405ec29,"Pushup (Deficit)",bodyweight only
292,925b0592-ae6e-4115-bb67-757b8b68dbc8,"Pushup (Narrow Grip)",bodyweight only
