ID,Exercise Name,Primary Muscle Group,Secondary Muscle Group,Exercise Type,x tracked
243,Dumbbell Spider Curl,Biceps,,dumbbell,0
245,Dumbbell Twist Curl,Biceps,,dumbbell,0
246,EZ Bar Curl (Normal Grip),Biceps,,barbell,0
247,EZ Bar Curl (Wide Grip),Biceps,,barbell,0
250,EZ Bar Spider Curl,Biceps,,barbell,0
251,Freemotion Curl (Facing Away),Biceps,,freemotion,0
252,Freemotion Curl (Facing Machine),Biceps,,freemotion,0
253,Freemotion Curl (Single-Arm),Biceps,,freemotion,0
264,Hammer Preacher Curl,Biceps,,dumbbell,0
273,Lying Cable Curl,Biceps,,cable,0
274,Lying Dumbbell Curl,Biceps,,dumbbell,0
181,Belt Squat Calves,Calves,,machine,0
224,Donkey Calf Raise,Calves,,machine,0
182,Bench Press (Cambered Bar),Chest,,barbell,0
184,Bench Press (Decline),Chest,,barbell,0
185,"Bench Press (Incline, Narrow Grip)",Chest,,barbell,0
186,"Bench Press (Incline, Wide Grip)",Chest,,barbell,0
187,Bench Press (Narrow Grip),Chest,,barbell,0
188,Bench Press (Wide Grip),Chest,,barbell,0
193,Cable Chest Press,Chest,,cable,0
200,Cable Flye (Seated),Chest,,cable,0
201,Cable Flye (Underhand),Chest,,cable,0
221,Dip (Chest-Focused),Chest,,bodyweight only,0
222,"Dip (Weighted, Chest-Focused)",Chest,,bodyweight loadable,0
239,Dumbbell Press Flye (Flat),Chest,,dumbbell,0
263,Hammer Machine Chest Press (Incline),Chest,,machine,0
279,Pec Dec Flye,Chest,,machine,0
291,Pushup (Deficit),Chest,,bodyweight only,0
292,Pushup (Narrow Grip),Chest,,bodyweight only,0
293,"Pushup (Weighted, Narrow Grip)",Chest,,bodyweight loadable,0
294,"Pushup (Weighted, Normal Grip)",Chest,,bodyweight loadable,0
308,Smith Machine Bench Press (Narrow Grip),Chest,,smith machine,0
309,Smith Machine Bench Press (Wide Grip),Chest,,smith machine,0
311,"Smith Machine Press (High Incline, Medium Grip)",Chest,,smith machine,0
312,"Smith Machine Press (High Incline, Narrow Grip)",Chest,,smith machine,0
313,"Smith Machine Press (High Incline, Wide Grip)",Chest,,smith machine,0
314,"Smith Machine Press (Incline, Medium Grip)",Chest,,smith machine,0
315,"Smith Machine Press (Incline, Wide Grip)",Chest,,smith machine,0
316,"Smith Machine Press (Low Incline, Medium Grip)",Chest,,smith machine,0
317,"Smith Machine Press (Low Incline, Narrow Grip)",Chest,,smith machine,0
318,"Smith Machine Press (Low Incline, Wide Grip)",Chest,,smith machine,0
319,"Smith Machine Press (Medium Incline, Narrow Grip)",Chest,,smith machine,0
178,Barbell Standing Wrist Curl,Forearms,,barbell,0
212,Cable Wrist Curl,Forearms,,cable,0
227,Dumbbell Bench Wrist Curl,Forearms,,dumbbell,0
244,Dumbbell Standing Wrist Curl,Forearms,,dumbbell,0
262,Grip Roller,Forearms,,machine,0
296,Reverse Curl,Forearms,,barbell,0
190,Bulgarian Split Squat (Glute-Focused),Glutes,,dumbbell,0
203,Cable Kickback,Glutes,,cable,0
204,Cable Pull Through,Glutes,,cable,0
216,Deadlift (Deficit 25's),Glutes,,barbell,0
218,Deadlift (Sumo Stance),Glutes,,barbell,0
219,"Deadlift (Sumo Stance, Deficit)",Glutes,,barbell,0
232,Dumbbell Hip Thrust (Single Leg),Glutes,,dumbbell,0
258,Front Foot Elevated Smith Lunge,Glutes,,smith machine,0
267,Hip Abduction Machine,Glutes,,machine,0
297,Reverse Hyper,Glutes,,machine,0
298,Reverse Lunge (Dumbbell),Glutes,,dumbbell,0
300,Rogers Reverse Lunge,Glutes,,machine,0
326,Trap Bar Deadlift,Glutes,,barbell,0
328,"Walking Lunges (Glute-Focused, Dumbbell)",Glutes,,dumbbell,0
156,Back Raise (Glute Ham Deck),Hamstrings,,bodyweight only,0
166,Barbell Good Morning (Cambered Bar),Hamstrings,,barbell,0
167,Barbell Good Morning (High Bar),Hamstrings,,barbell,0
168,Barbell Good Morning (Low Bar),Hamstrings,,barbell,0
169,Barbell Good Morning (Safety Bar),Hamstrings,,barbell,0
278,Nordic Curl,Hamstrings,,bodyweight only,0
299,Rogers Good Morning,Hamstrings,,machine,0
305,Single Leg Romanian Deadlift,Hamstrings,,dumbbell,0
176,Barbell Squat (Cambered Bar),Quads,,barbell,0
177,Barbell Squat (Safety Bar),Quads,,barbell,0
189,Bodyweight Squat (2/3),Quads,,bodyweight only,0
191,Bulgarian Split Squat (Quad-Focused),Quads,,dumbbell,0
231,Dumbbell Front Squat,Quads,,dumbbell,0
259,Front Squat,Quads,,barbell,0
260,Front Squat (Cross Grip),Quads,,barbell,0
261,Goblet Squat,Quads,,dumbbell,0
268,Hip Adduction,Quads,,machine,0
301,Rogers Squat,Quads,,machine,0
304,Single Leg Press,Quads,,machine,0
306,Sissy Squat (Machine),Quads,,bodyweight only,0
307,Sissy Squat (No Machine),Quads,,bodyweight only,0
329,"Walking Lunges (Quad-Focused, Barbell)",Quads,,barbell,0
330,"Walking Lunges (Quad-Focused, Dumbbell)",Quads,,dumbbell,0
161,Barbell Facepull,Shoulders,,barbell,0
163,Barbell Front Raise,Shoulders,,barbell,0
164,"Barbell Front Raise (EZ Bar, Underhand)",Shoulders,,barbell,0
165,Barbell Front Raise (Overhand),Shoulders,,barbell,0
173,Barbell Shoulder Press (Seated),Shoulders,,barbell,0
174,Barbell Shoulder Press (Standing),Shoulders,,barbell,0
179,Barbell Upright Row,Shoulders,,barbell,0
194,Cable Cross Body Bent Lateral Raise,Shoulders,,cable,0
195,Cable Cross Body Lateral Raise,Shoulders,,cable,0
202,Cable Front Raise (Overhand),Shoulders,,cable,0
207,Cable Rope Facepull (Kneeling),Shoulders,,cable,0
210,Cable Single Arm Rear Delt Raise,Shoulders,,cable,0
229,Dumbbell Facepull,Shoulders,,dumbbell,0
230,Dumbbell Facepull (Incline),Shoulders,,dumbbell,0
233,Dumbbell Lateral Raise (Seated),Shoulders,,dumbbell,0
234,Dumbbell Lateral Raise (Thumbs Down),Shoulders,,dumbbell,0
235,Dumbbell Lateral Raise (Top Hold),Shoulders,,dumbbell,0
241,Dumbbell Shoulder Press (Standing),Shoulders,,dumbbell,0
254,Freemotion Rear Delt Flyes,Shoulders,,freemotion,0
255,Freemotion Rear Delt Flyes (Paused),Shoulders,,freemotion,0
256,Freemotion Y-Raises,Shoulders,,freemotion,0
257,Freemotion Y-Raises (Paused),Shoulders,,freemotion,0
324,Smith Machine Upright Row,Shoulders,,smith machine,0
42,Barbell Bent Over Shrug,Traps,,barbell,0
81,Cable Bent Over Shrug,Traps,,cable,0
140,Cable Shrug,Traps,,cable,0
158,Cable Side Shrug,Traps,,cable,0
175,Cable Single Arm Side Shrug,Traps,,cable,0
208,Dumbbell Bent Over Shrug,Traps,,dumbbell,0
209,Dumbbell Leaning Shrug,Traps,,dumbbell,0
275,Machine Shrug,Traps,,machine,0
321,Smith Machine Shrug,Traps,,smith machine,0
170,Barbell Overhead Triceps Extension,Triceps,,barbell,0
183,Bench Press (Close Grip),Triceps,,barbell,0
223,Dip Machine,Triceps,,machine,0
249,EZ Bar Skullcrusher,Triceps,,barbell,0
270,Inverted Skullcrusher,Triceps,,bodyweight only,0
271,JM Press,Triceps,,barbell,0
310,Smith Machine JM Press,Triceps,,smith machine,0
322,Smith Machine Skullcrusher,Triceps,,smith machine,0
